t_review,t_block,review_rate,block_rate,cost
0.20384614169597626,0.4615384638309479,0.019801086011672932,0.024384461679141125,3070650.9767999984
0.20384615659713745,0.46153849363327026,0.019834953319560627,0.02406836680552263,3071418.550799999
0.20384615659713745,0.4615384638309479,0.01951885844594213,0.024384461679141125,3077214.1243999987
0.20384614169597626,0.40000003576278687,0.01955272575382983,0.02463282193698423,3077685.1011999985
0.20384614169597626,0.3999999761581421,0.01943983472753751,0.02474571296327655,3080536.9011999983
0.20384615659713745,0.40000003576278687,0.019270498188099026,0.02463282193698423,3084248.248799999
0.20384615659713745,0.3999999761581421,0.019157607161806707,0.02474571296327655,3087100.0487999986
0.20384614169597626,0.33942562341690063,0.018807644980300516,0.02537790271051354,3103817.3700999985
0.20384615659713745,0.33942562341690063,0.018525417414569714,0.02537790271051354,3110380.517699999
0.24590162932872772,0.6896551847457886,0.01984624242218986,0.018468971901423555,3112600.663899998
